,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
12,11419,Toncoin,TON,toncoin,644,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2552023619.795981,5118214790.987137,True,,13,,,,2024-12-25T06:29:00.000Z,5.842203398596741,201062737.51054943,-10.9748,-0.19973544,3.85868558,0.91755342,-4.76614847,18.01305604,0.90413009,14909441064.871237,0.434,29901651846.65,,2024-12-25T06:29:00.000Z,,,,,,2024-12-25 09:30:20.355648
13,5994,Shiba Inu,SHIB,shiba-inu,921,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589255462917243.1,589508558683876.6,False,,14,,,,2024-12-25T06:28:00.000Z,2.3190832644864342e-05,706008506.6519957,10.6844,-0.33340555,3.26748741,-9.92443897,-9.56999114,37.52480725,44.68874952,13665324825.585852,0.3978,13671194327.15,,2024-12-25T06:28:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-12-25 09:30:20.355648
14,20947,Sui,SUI,sui,496,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",10000000000.0,2927660018.558888,10000000000.0,False,,15,,,,2024-12-25T06:29:00.000Z,4.590603474851014,1538710484.7388148,-31.4516,-0.46149948,-1.83797678,1.75631,33.77605287,158.91786164,170.90518913,13439726254.378817,0.3909,45906034748.51,,2024-12-25T06:29:00.000Z,,,,,,2024-12-25 09:30:20.355648
0,1,Bitcoin,BTC,bitcoin,11853,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19800806.0,19800806.0,False,,1,,,,2024-12-25T06:28:00.000Z,97894.44839555817,44225486017.93718,-24.2043,-0.3063218,3.95116392,-5.83461321,-0.47788431,46.0398154,53.84393575,1938388981157.4585,56.4227,2055783416306.72,,2024-12-25T06:28:00.000Z,,,,,,2024-12-25 09:30:40.573585
1,1027,Ethereum,ETH,ethereum,9727,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120460544.64983995,120460544.64983995,True,,2,,,,2024-12-25T06:29:00.000Z,3483.811685347736,21849217196.233807,-28.1272,-0.06949975,2.03920176,-9.30621674,2.90100651,41.34408625,33.23108478,419661853074.4651,12.2155,419661853074.47,,2024-12-25T06:29:00.000Z,,,,,,2024-12-25 09:30:40.573585
2,825,Tether USDt,USDT,tether,110002,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,139423980093.45767,143440125284.69873,True,,3,,,,2024-12-25T06:28:00.000Z,0.9991485667416238,108821579982.76317,-16.2467,-0.02408091,0.05483663,-0.08562951,-0.19690375,0.04396153,-0.05549597,139305269879.79092,4.0474,143317995591.45,,2024-12-25T06:28:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-12-25 09:30:40.573585
3,52,XRP,XRP,xrp,1487,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",100000000000.0,57252380420.0,99986807248.0,False,,4,,,,2024-12-25T06:29:00.000Z,2.299713049134748,5727886522.215544,-27.353,0.0315445,2.30748701,-8.78074989,56.95104649,348.72021322,293.64101989,131664046345.90074,3.8265,229971304913.47,,2024-12-25T06:29:00.000Z,,,,,,2024-12-25 09:30:40.573585
4,1839,BNB,BNB,bnb,2316,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144007481.77,144007481.77,False,,5,,,,2024-12-25T06:29:00.000Z,703.5894319620721,1071968633.0515233,-33.5649,0.11205905,1.68748166,-1.07256642,6.61008865,21.0752662,18.68002557,101322142296.84276,2.9468,101322142296.84,,2024-12-25T06:29:00.000Z,,,,,,2024-12-25 09:30:40.573585
5,5426,Solana,SOL,solana,814,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,479440107.1779869,590784325.7063565,True,,6,,,,2024-12-25T06:29:00.000Z,199.10823358600663,3574506402.962344,-14.3135,0.08515627,4.15437028,-7.94218156,-21.46881462,19.13713417,31.94299492,95460472850.49467,2.7743,117630023521.69,,2024-12-25T06:29:00.000Z,,,,,,2024-12-25 09:30:40.573585
6,74,Dogecoin,DOGE,dogecoin,1132,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,147343346383.7052,147343346383.7052,True,,7,,,,2024-12-25T06:29:00.000Z,0.3332861647241051,3139591899.157214,-13.5554,-0.15414334,3.3992024,-13.41510775,-21.66667358,148.48204411,201.07120739,49107498813.84045,1.4318,49107498813.84,,2024-12-25T06:29:00.000Z,,,,,,2024-12-25 09:30:40.573585
7,3408,USDC,USDC,usd-coin,24129,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,43232743528.351006,43232743528.351006,False,,8,,,,2024-12-25T06:29:00.000Z,1.0000828456080029,6889971847.473747,-20.7551,-0.00517117,0.00732996,0.01249061,0.00806385,0.02525034,0.01224649,43236325171.27425,1.2607,43236325171.27,,2024-12-25T06:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-12-25 09:30:40.573585
8,2010,Cardano,ADA,cardano,1419,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season']",45000000000.0,35126169612.19378,44995107818.69111,False,,9,,,,2024-12-25T06:29:00.000Z,0.9261921211985888,935226539.9150909,-18.4451,-0.02745977,2.27551133,-9.91835409,-11.47345418,178.93142147,137.62538471,32533581542.69917,0.9462,41678645453.94,,2024-12-25T06:29:00.000Z,,,,,,2024-12-25 09:30:40.573585
9,1958,TRON,TRX,tron,1088,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season']",,86210651385.86748,86210652265.60643,True,,10,,,,2024-12-25T06:28:00.000Z,0.25747506831385714,851919546.6337427,-16.84,0.3902719,2.18164927,-5.83710678,22.93479496,56.85188026,70.10083093,22197093354.95835,0.6461,22197093581.47,,2024-12-25T06:28:00.000Z,,,,,,2024-12-25 09:30:40.573585
10,5805,Avalanche,AVAX,avalanche,829,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,409845984.2190186,448182284.2190186,False,,11,,,,2024-12-25T06:29:00.000Z,41.19217532554601,613024519.8829321,-17.693,-0.30118384,6.04391474,-11.95463386,-3.33647228,61.78700381,47.6740441,16882447638.420776,0.4914,29483246722.08,,2024-12-25T06:29:00.000Z,,,,,,2024-12-25 09:30:40.573585
11,1975,Chainlink,LINK,chainlink,1907,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,638099970.4527867,1000000000.0,False,,12,,,,2024-12-25T06:29:00.000Z,24.966935867903118,1265236350.905746,-5.2405,0.05330526,3.58596796,-8.73550556,37.47318035,121.03366046,105.10248981,15931401039.6056,0.463,24966935867.9,,2024-12-25T06:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-12-25 09:30:40.573585
12,11419,Toncoin,TON,toncoin,644,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2552023619.795981,5118214790.987137,True,,13,,,,2024-12-25T06:29:00.000Z,5.842203398596741,201062737.51054943,-10.9748,-0.19973544,3.85868558,0.91755342,-4.76614847,18.01305604,0.90413009,14909441064.871237,0.434,29901651846.65,,2024-12-25T06:29:00.000Z,,,,,,2024-12-25 09:30:40.573585
13,5994,Shiba Inu,SHIB,shiba-inu,921,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589255462917243.1,589508558683876.6,False,,14,,,,2024-12-25T06:28:00.000Z,2.3190832644864342e-05,706008506.6519957,10.6844,-0.33340555,3.26748741,-9.92443897,-9.56999114,37.52480725,44.68874952,13665324825.585852,0.3978,13671194327.15,,2024-12-25T06:28:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-12-25 09:30:40.573585
14,20947,Sui,SUI,sui,496,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",10000000000.0,2927660018.558888,10000000000.0,False,,15,,,,2024-12-25T06:29:00.000Z,4.590603474851014,1538710484.7388148,-31.4516,-0.46149948,-1.83797678,1.75631,33.77605287,158.91786164,170.90518913,13439726254.378817,0.3909,45906034748.51,,2024-12-25T06:29:00.000Z,,,,,,2024-12-25 09:30:40.573585
